period,er,Date,Symbol
2,-0.0007241882900517202,2026-07-23,AAPL
3,-0.0014864665933203161,2026-07-23,AAPL
4,0.0011632706153093737,2026-07-23,AAPL
5,4.363456800323406e-06,2026-07-23,AAPL
6,-0.0003457870317671036,2026-07-23,AAPL
7,0.0019907277802554664,2026-07-23,AAPL
8,-0.002809451648610089,2026-07-23,AAPL
9,0.0004640208034344402,2026-07-23,AAPL
10,-0.0005288838315324586,2026-07-23,AAPL
11,0.0015118218739402847,2026-07-23,AAPL
12,0.00016458403144940122,2026-07-23,AAPL
13,0.0008215289090007969,2026-07-23,AAPL
14,0.0010727423933404936,2026-07-23,AAPL
1,-0.0010240290796968564,2026-07-23,ABBV
2,-0.0001803215708643821,2026-07-23,ABBV
3,-0.003004465234312463,2026-07-23,ABBV
4,0.003347431904828641,2026-07-23,ABBV
5,0.0018452616806961116,2026-07-23,ABBV
6,-0.0014612784337898648,2026-07-23,ABBV
7,0.00011952800466468941,2026-07-23,ABBV
8,-0.0018890149503973043,2026-07-23,ABBV
9,-0.0026188348956778696,2026-07-23,ABBV
10,0.0004807262963401041,2026-07-23,ABBV
11,-0.0009724862705036402,2026-07-23,ABBV
12,-0.0006584346292793245,2026-07-23,ABBV
13,-0.0024543144108161202,2026-07-23,ABBV
14,-0.0013945441759333984,2026-07-23,ABBV
1,0.0029780751808926326,2026-07-23,ABCL
2,0.001705730855682818,2026-07-23,ABCL
3,-0.00028230301658602907,2026-07-23,ABCL
4,-0.005395802937471386,2026-07-23,ABCL
5,0.007004619838464302,2026-07-23,ABCL
6,0.005600762520343731,2026-07-23,ABCL
7,0.002930747303476674,2026-07-23,ABCL
8,0.01611753465163917,2026-07-23,ABCL
9,0.001895777534484053,2026-07-23,ABCL
10,0.025074690093745623,2026-07-23,ABCL
11,0.012749503219716327,2026-07-23,ABCL
12,0.019224587572688696,2026-07-23,ABCL
13,0.04871428161456373,2026-07-23,ABCL
14,0.013193423795205618,2026-07-23,ABCL
1,-0.0023704235940021122,2026-07-23,ABEV
2,0.00010709776375146948,2026-07-23,ABEV
3,-0.0025867797375159754,2026-07-23,ABEV
4,0.00045110986874081187,2026-07-23,ABEV
5,-0.000595517281142399,2026-07-23,ABEV
6,-0.0003308265189806058,2026-07-23,ABEV
7,0.0011021581287509598,2026-07-23,ABEV
8,-0.0047669542740083354,2026-07-23,ABEV
9,-0.00105252667450215,2026-07-23,ABEV
10,-0.004440598698636409,2026-07-23,ABEV
11,-0.0013973191277959346,2026-07-23,ABEV
12,-0.0005141937038817308,2026-07-23,ABEV
13,-0.006397052178410982,2026-07-23,ABEV
14,-0.0013699714578268777,2026-07-23,ABEV
1,0.002126777450861562,2026-07-23,ABM
2,0.0017887937984168653,2026-07-23,ABM
3,-0.0011643356723212424,2026-07-23,ABM
4,-0.006580861548774604,2026-07-23,ABM
5,0.005688690029919611,2026-07-23,ABM
6,-0.0006920415791344453,2026-07-23,ABM
7,0.0037544705598042123,2026-07-23,ABM
8,0.011606456532847973,2026-07-23,ABM
9,0.001969414432399564,2026-07-23,ABM
10,0.016348966761975045,2026-07-23,ABM
11,0.009284138871503944,2026-07-23,ABM
12,0.011478255457023384,2026-07-23,ABM
13,0.025502680404275963,2026-07-23,ABM
14,0.022977804780797334,2026-07-23,ABM
1,-0.0007965482759569176,2026-07-23,ABNB
2,5.046540852149361e-05,2026-07-23,ABNB
3,-0.003949060532250052,2026-07-23,ABNB
4,0.0007309718250997136,2026-07-23,ABNB
5,0.0029634061437018577,2026-07-23,ABNB
6,-0.0008030592494286377,2026-07-23,ABNB
7,0.00031888856148224327,2026-07-23,ABNB
8,-0.0016289426123425863,2026-07-23,ABNB
9,0.00019767097008649827,2026-07-23,ABNB
10,0.0006263402625684631,2026-07-23,ABNB
11,0.0009982100401235653,2026-07-23,ABNB
12,-0.002717480317566217,2026-07-23,ABNB
13,-0.0021706415993436533,2026-07-23,ABNB
14,-0.002380960857773987,2026-07-23,ABNB
1,0.0027161240904585732,2026-07-23,ABR
2,0.0016333138720739588,2026-07-23,ABR
3,0.0002308740074494232,2026-07-23,ABR
4,-0.004000497732230665,2026-07-23,ABR
5,0.004047458713924654,2026-07-23,ABR
6,0.0017483180779264587,2026-07-23,ABR
7,0.0060256889334836345,2026-07-23,ABR
8,0.008458750558893613,2026-07-23,ABR
9,0.00028965553406866136,2026-07-23,ABR
10,0.019104006493463867,2026-07-23,ABR
11,0.010493467470705264,2026-07-23,ABR
12,0.01174947043338895,2026-07-23,ABR
13,0.028611212535940702,2026-07-23,ABR
14,0.02641366733091188,2026-07-23,ABR
1,-0.0014476271279257986,2026-07-23,ABT
2,-1.967285923728121e-05,2026-07-23,ABT
3,-0.0039367496916426796,2026-07-23,ABT
4,0.0010278837289912162,2026-07-23,ABT
5,0.000674139531884646,2026-07-23,ABT
6,-1.0105894521468439e-05,2026-07-23,ABT
7,0.0007903142117623659,2026-07-23,ABT
8,-0.002876991595600741,2026-07-23,ABT
9,-0.0007467344260843795,2026-07-23,ABT
10,-0.0012089539357810126,2026-07-23,ABT
11,0.0003813957602252875,2026-07-23,ABT
12,-0.0013887064541439635,2026-07-23,ABT
13,-0.0015653433758241896,2026-07-23,ABT
14,-0.0012802048337612777,2026-07-23,ABT
1,0.004370745140950664,2026-07-23,ACAD
2,-4.435275559597128e-05,2026-07-23,ACAD
3,-0.0010732644436516692,2026-07-23,ACAD
4,-0.00427160373035343,2026-07-23,ACAD
5,0.002065315788542288,2026-07-23,ACAD
6,-0.00010795984248010394,2026-07-23,ACAD
7,0.004888948975859603,2026-07-23,ACAD
8,0.00840858958993817,2026-07-23,ACAD
9,0.004809954507877189,2026-07-23,ACAD
10,0.014128194211326314,2026-07-23,ACAD
11,0.003902475072083728,2026-07-23,ACAD
12,0.006702294628409485,2026-07-23,ACAD
13,0.025571315625537935,2026-07-23,ACAD
14,0.015115026962221882,2026-07-23,ACAD
1,-0.001114549551066008,2026-07-23,ACGL
2,0.002090089481991244,2026-07-23,ACGL
3,-0.0004468192042621028,2026-07-23,ACGL
4,-0.00046558216114041403,2026-07-23,ACGL
5,-0.0008599122503575262,2026-07-23,ACGL
6,0.0005114424013062475,2026-07-23,ACGL
7,-1.1666215176948525e-05,2026-07-23,ACGL
8,-0.00018995646543455285,2026-07-23,ACGL
9,-0.0018368246337774291,2026-07-23,ACGL
10,-0.009067370317925608,2026-07-23,ACGL
11,0.002395340786459037,2026-07-23,ACGL
12,-0.004786238478337588,2026-07-23,ACGL
13,-0.004027523445626592,2026-07-23,ACGL
14,-0.0074510148818003556,2026-07-23,ACGL
1,0.002918435173310653,2026-07-23,ACHR
2,0.0003879659414827321,2026-07-23,ACHR
3,-0.0019918031184921778,2026-07-23,ACHR
4,-0.004191559667044445,2026-07-23,ACHR
5,0.005606223235621525,2026-07-23,ACHR
6,0.004961462167188553,2026-07-23,ACHR
7,0.005649243009283459,2026-07-23,ACHR
8,0.010573814551748184,2026-07-23,ACHR
9,0.00019664081323905104,2026-07-23,ACHR
10,0.021843209340141563,2026-07-23,ACHR
11,0.011609579397694924,2026-07-23,ACHR
12,0.012586251258261674,2026-07-23,ACHR
13,0.044936578208611855,2026-07-23,ACHR
14,0.013794593764321919,2026-07-23,ACHR
1,0.004229033035773418,2026-07-23,ACI
2,0.00022833125734659178,2026-07-23,ACI
3,-0.0013292745683778215,2026-07-23,ACI
4,-0.004461019493380147,2026-07-23,ACI
5,0.001391753504166985,2026-07-23,ACI
6,0.0023928696170123134,2026-07-23,ACI
7,0.0029572965748121535,2026-07-23,ACI
8,0.011249344415536863,2026-07-23,ACI
9,0.002367679908840089,2026-07-23,ACI
10,0.022337309489391145,2026-07-23,ACI
11,0.012789270523831,2026-07-23,ACI
12,0.015055620387407473,2026-07-23,ACI
13,0.030411467800123507,2026-07-23,ACI
14,0.021531091293840558,2026-07-23,ACI
1,0.002890421387885381,2026-07-23,ACMR
2,0.0025814845289640043,2026-07-23,ACMR
3,-0.0017700692271094497,2026-07-23,ACMR
4,-0.004719080821142365,2026-07-23,ACMR
5,0.009447624080357764,2026-07-23,ACMR
6,0.0013810784575910165,2026-07-23,ACMR
7,0.004557854856837398,2026-07-23,ACMR
8,0.01115317299617795,2026-07-23,ACMR
9,0.00687104870230608,2026-07-23,ACMR
10,0.02689121575823129,2026-07-23,ACMR
11,0.012257613489573809,2026-07-23,ACMR
12,0.02201096039872699,2026-07-23,ACMR
13,0.039305798073266875,2026-07-23,ACMR
14,0.01539082898050511,2026-07-23,ACMR
1,-0.0015068140066146162,2026-07-23,ACN
2,-0.0005171126707994053,2026-07-23,ACN
3,-0.004061958331311288,2026-07-23,ACN
4,0.002926974187407134,2026-07-23,ACN
5,0.002685092762291545,2026-07-23,ACN
6,-0.002576161817830685,2026-07-23,ACN
7,0.00040372708010812965,2026-07-23,ACN
8,-0.0037697850345261895,2026-07-23,ACN
9,-0.0032274129544113063,2026-07-23,ACN
10,-0.0008144206291490727,2026-07-23,ACN
11,-5.048001338766338e-07,2026-07-23,ACN
12,-0.0006909061037676421,2026-07-23,ACN
13,-0.005428274029748487,2026-07-23,ACN
14,-0.0033022455182986086,2026-07-23,ACN
1,0.003730350953754412,2026-07-23,ACVA
2,0.0017044707115472877,2026-07-23,ACVA
3,-0.0022031440412089228,2026-07-23,ACVA
4,-0.003866908309544214,2026-07-23,ACVA
5,0.00694217656509272,2026-07-23,ACVA
6,0.0008359505773010907,2026-07-23,ACVA
7,0.0032317518318310118,2026-07-23,ACVA
8,0.006735663133134519,2026-07-23,ACVA
9,0.006609126601889117,2026-07-23,ACVA
10,0.02279867282479777,2026-07-23,ACVA
11,0.0076981880317390705,2026-07-23,ACVA
12,0.01705273735002534,2026-07-23,ACVA
13,0.048883384287508345,2026-07-23,ACVA
14,0.01799790359713447,2026-07-23,ACVA
1,-0.0013877458381018558,2026-07-23,ADBE
2,-0.0007621869714762238,2026-07-23,ADBE
3,-0.004272475132371548,2026-07-23,ADBE
4,0.0013948426712870174,2026-07-23,ADBE
5,0.001026611567240865,2026-07-23,ADBE
6,-0.00027130554051150925,2026-07-23,ADBE
7,-0.0009766872273380808,2026-07-23,ADBE
8,-0.001983482965975464,2026-07-23,ADBE
9,0.0012657957252925076,2026-07-23,ADBE
10,0.0028816567957717027,2026-07-23,ADBE
11,-0.0004593015880263184,2026-07-23,ADBE
12,0.004823945714701688,2026-07-23,ADBE
13,-0.003174956988435236,2026-07-23,ADBE
14,0.004703889393862624,2026-07-23,ADBE
1,-0.0014211884841092497,2026-07-23,ADI
2,0.0001320678359260023,2026-07-23,ADI
3,-0.002833179608325622,2026-07-23,ADI
4,0.0030802282859695084,2026-07-23,ADI
5,8.380489772877981e-05,2026-07-23,ADI
6,0.0008475450862119667,2026-07-23,ADI
7,0.00025758985375463455,2026-07-23,ADI
8,-3.290897079275912e-05,2026-07-23,ADI
9,0.004713441382105886,2026-07-23,ADI
10,-0.001449798650848674,2026-07-23,ADI
