Date,Symbol,High_Risk_Score,High_Risk_Score_Sharpe,High_Risk_Score_HoldPeriod,Close_Price,Cap_Size,Sector,Industry,source
2024-08-13,SFTBY,0.016655847795512747,2.472970296058886,13.0,27.17,Large,Communications,Specialty Telecommunications,validate_oot
2024-08-13,MRVI,0.01659990853646628,1.905240542418461,10.333333333333334,8.44,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,UEC,0.016445395135874206,2.102934746125764,13.0,4.77,Small,Non-Energy Minerals,Other Metals/Minerals,validate_oot
2024-08-13,OPK,0.016427477762653832,2.00178110516385,13.0,1.52,Small,Health Services,Medical/Nursing Services,validate_oot
2024-08-13,CPB,0.016415284288142342,2.318399993318323,11.333333333333334,48.71,Small,Consumer Non-Durables,Food: Specialty/Candy,validate_oot
2024-08-13,IREN,0.01634134460806411,1.762563411321369,12.666666666666666,7.35,Small,Technology Services,Data Processing Services,validate_oot
2024-08-13,AKAM,0.01632486984006698,2.4986471840112903,12.0,101.02,Small,Technology Services,Data Processing Services,validate_oot
2024-08-13,ACVA,0.016258464810117272,2.2235666379515675,13.0,18.35,Small,Retail Trade,Internet Retail,validate_oot
2024-08-13,WB,0.01621252842872392,2.119121836906839,13.0,8.04,Small,Technology Services,Internet Software/Services,validate_oot
2024-08-13,KIM,0.016151598213571688,2.1997368756686084,13.0,21.86,Small,Finance,Real Estate Investment Trusts,validate_oot
2024-08-13,ONB,0.016066007738179098,2.025817728823878,13.0,17.97,Small,Finance,Major Banks,validate_oot
2024-08-13,BTG,0.01599904025390361,2.313603063679877,12.333333333333334,2.61,Small,Non-Energy Minerals,Precious Metals,validate_oot
2024-08-13,AHCO,0.01598597007917122,1.973554438976374,13.0,9.7,Small,Finance,Finance/Rental/Leasing,validate_oot
2024-08-13,TNGX,0.015906777379355103,1.992507472087715,10.0,9.05,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,WERN,0.01587958523702285,2.3223138468308084,13.0,36.89,Small,Transportation,Trucking,validate_oot
2024-08-13,CIFR,0.015784076786378998,1.7029171736034994,12.0,3.92,Small,Technology Services,Data Processing Services,validate_oot
2024-08-13,AXTA,0.015707433279855947,2.233066016003742,13.0,33.73,Small,Process Industries,Industrial Specialties,validate_oot
2024-08-13,PAGS,0.015637936214968028,2.1846828855608784,13.0,12.85,Small,Commercial Services,Miscellaneous Commercial Services,validate_oot
2024-08-13,ALKS,0.015631890690074753,1.663803386359073,13.0,26.43,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,WT,0.015592987092965305,1.99131269582195,9.666666666666666,10.04,Small,Miscellaneous,Investment Trusts/Mutual Funds,validate_oot
2024-08-13,BROS,0.015500981477413418,2.0693146768849564,13.0,29.42,Small,Consumer Non-Durables,Food: Specialty/Candy,validate_oot
2024-08-13,CDE,0.015494910007400173,2.1826265495928254,13.0,5.78,Small,Non-Energy Minerals,Precious Metals,validate_oot
2024-08-13,BMBL,0.015461804738251705,1.8250910277602266,13.0,5.98,Small,Technology Services,Packaged Software,validate_oot
2024-08-13,MNSO,0.01543682238147732,2.771888757337303,12.333333333333334,15.67,Large,Retail Trade,Specialty Stores,validate_oot
2024-08-13,BEAM,0.015165253121628947,1.8929232741123228,8.666666666666666,24.34,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,BBWI,0.015131473638205953,2.14932646269639,13.0,31.6,Small,Retail Trade,Apparel/Footwear Retail,validate_oot
2024-08-13,LXP,0.015116876825564436,2.2652098421397087,13.0,9.69,Small,Finance,Real Estate Investment Trusts,validate_oot
2024-08-13,BRCC,0.015107413769547995,1.8959060165187813,13.0,3.74,Small,Consumer Non-Durables,Food: Specialty/Candy,validate_oot
2024-08-13,LQDA,0.015051142683199634,1.7774167645057193,9.666666666666666,13.29,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,WU,0.01502968576510384,2.3030996966476054,13.0,11.65,Small,Finance,Regional Banks,validate_oot
2024-08-13,LC,0.015013143591885983,1.7677966108322174,10.333333333333334,10.73,Small,Finance,Major Banks,validate_oot
2024-08-13,TPH,0.014965360607000489,1.8441063433885543,13.0,41.03,Small,Consumer Durables,Homebuilding,validate_oot
2024-08-13,TSLA,0.014917475404094488,2.4073310238078935,13.0,207.83,Large,Consumer Durables,Motor Vehicles,validate_oot
2024-08-13,UUUU,0.014886703399886674,1.953027291840935,9.666666666666666,4.54,Small,Non-Energy Minerals,Other Metals/Minerals,validate_oot
2024-08-13,CX,0.014882658707933013,2.0037968465007805,13.0,6.33,Small,Non-Energy Minerals,Construction Materials,validate_oot
2024-08-13,AUTL,0.014830546661984913,1.8560644403314963,8.666666666666666,3.75,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,LMND,0.014802278547526212,1.6532497125946857,13.0,15.62,Small,Finance,Property/Casualty Insurance,validate_oot
2024-08-13,TXG,0.014751760558899318,1.9659025802962904,11.0,21.53,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,LZ,0.014715594238587338,1.7668505025726213,11.0,5.8,Small,Commercial Services,Miscellaneous Commercial Services,validate_oot
2024-08-13,AVDL,0.014686106984680716,1.7877631907703921,10.333333333333334,16.24,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,PAYO,0.01460331416484491,1.9916231582639954,12.333333333333334,7.1,Small,Commercial Services,Miscellaneous Commercial Services,validate_oot
2024-08-13,FR,0.014562550827208738,2.3149599298896266,13.0,53.96,Small,Finance,Real Estate Investment Trusts,validate_oot
2024-08-13,ALB,0.014526928879396613,1.8084669171997225,13.0,77.22,Small,Process Industries,Chemicals: Specialty,validate_oot
2024-08-13,URBN,0.014495217316566915,1.9013593556598563,9.666666666666666,40.85,Small,Retail Trade,Apparel/Footwear Retail,validate_oot
2024-08-13,KLG,0.014464078828187463,2.1378611248443598,13.0,16.47,Small,Consumer Non-Durables,Food: Specialty/Candy,validate_oot
2024-08-13,RXRX,0.014377485841675502,1.7586385372191211,8.666666666666666,6.54,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,IDYA,0.014344276761312863,1.743158106776863,13.0,38.18,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,GMED,0.014331352397064873,1.8810355910414367,9.666666666666666,67.32,Small,Health Technology,Medical Specialties,validate_oot
2024-08-13,INTR,0.014315325284700415,1.7782856690742987,13.0,7.29,Small,Finance,Major Banks,validate_oot
2024-08-13,PAAS,0.01429964222761574,2.2797570141958143,13.0,19.84,Small,Non-Energy Minerals,Precious Metals,validate_oot
2024-08-13,ABCL,0.014294717297619766,1.9273890782745997,11.666666666666666,2.67,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,AKRO,0.014236712476309853,1.583177494720672,10.333333333333334,24.77,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,INFN,0.014234489426266692,2.0843688693103584,13.0,5.81,Small,Electronic Technology,Telecommunications Equipment,validate_oot
2024-08-13,KGC,0.014221113915210465,2.2513711875225484,12.333333333333334,8.99,Small,Non-Energy Minerals,Precious Metals,validate_oot
2024-08-13,OPRA,0.014208410713906267,1.9752462036185003,13.0,12.57,Small,Technology Services,Packaged Software,validate_oot
2024-08-13,GM,0.014134902255822179,2.465507539094142,12.333333333333334,43.32,Large,Consumer Durables,Motor Vehicles,validate_oot
2024-08-13,CLF,0.014059975944542268,1.887183709015438,13.0,13.03,Small,Non-Energy Minerals,Steel,validate_oot
2024-08-13,OPEN,0.014003790116782848,1.528515927360716,9.0,1.76,Small,Finance,Real Estate Development,validate_oot
